# Name : Surface component 1
# Stage: 45.000 s
# Units: length:mm angle:deg strain:% 
id,x,y,z,major_strain
0,10.4529,39.1823,0.0000,2.2351
1,10.6592,38.7553,0.0000,1.0246
2,10.6686,38.2058,0.0000,1.1185
3,10.6823,37.6597,0.0000,1.0672
4,10.6904,37.1083,0.0000,1.5855
5,10.7023,36.5573,0.0000,1.1149
6,10.7118,36.0067,0.0000,1.2594
7,10.7232,35.4548,0.0000,1.5432
8,10.7301,34.8998,0.0000,1.4602
9,10.7379,34.3507,0.0000,1.1332
10,10.7445,33.8001,0.0000,0.7501
11,10.7587,33.2539,0.0000,1.2166
12,10.7689,32.6996,0.0000,1.4679
13,10.7764,32.1523,0.0000,0.7344
14,10.7842,31.6083,0.0000,1.3810
15,10.7953,31.0525,0.0000,1.2877
16,10.8051,30.5019,0.0000,1.3433
17,10.8132,29.9502,0.0000,1.2345
18,10.8222,29.3985,0.0000,1.1971
19,10.8319,28.8483,0.0000,0.9159
20,10.8431,28.3009,0.0000,0.7398
21,10.8521,27.7540,0.0000,0.9126
22,10.8625,27.2057,0.0000,1.1398
23,10.8737,26.6532,0.0000,1.4601
24,10.8845,26.1005,0.0000,1.1854
25,10.8959,25.5515,0.0000,0.7385
26,10.9092,25.0041,0.0000,0.8934
27,10.9203,24.4540,0.0000,1.2152
28,10.9298,23.9003,0.0000,1.7260
29,10.9406,23.3462,0.0000,1.6225
30,10.9525,22.7937,0.0000,1.7582
31,10.9620,22.2414,0.0000,1.0114
32,10.9717,21.6941,0.0000,0.6777
33,10.9812,21.1468,0.0000,0.5731
34,10.9912,20.5990,0.0000,0.3744
35,11.0032,20.0561,0.0000,0.5372
36,11.0135,19.5103,0.0000,1.4590
37,11.0246,18.9567,0.0000,1.6505
38,11.0373,18.4000,0.0000,2.4352
39,11.0486,17.8416,0.0000,1.5866
40,11.0611,17.2977,0.0000,1.0007
41,11.0719,16.7446,0.0000,1.3062
42,11.0792,16.1935,0.0000,1.2656
43,11.0879,15.6440,0.0000,1.1463
44,11.0970,15.0922,0.0000,1.2432
45,11.1071,14.5426,0.0000,0.8998
46,11.1163,13.9936,0.0000,0.5716
47,11.1277,13.4475,0.0000,0.7798
48,11.1382,12.8971,0.0000,1.3087
49,11.1498,12.3433,0.0000,1.3112
50,11.1613,11.7960,0.0000,1.0555
51,11.1734,11.2424,0.0000,0.9058
52,11.1836,10.6993,0.0000,0.8141
53,11.1955,10.1502,0.0000,1.4680
54,11.2071,9.5960,0.0000,1.7589
55,11.2166,9.0410,0.0000,1.2203
56,11.2255,8.4915,0.0000,0.6242
57,11.2362,7.9455,0.0000,0.7450
58,11.2504,7.3971,0.0000,0.8529
59,11.2626,6.8484,0.0000,1.3771
60,11.2759,6.2934,0.0000,1.4002
61,11.2899,5.7432,0.0000,0.9616
62,11.3030,5.1950,0.0000,0.6818
63,11.3161,4.6478,0.0000,0.7485
64,11.3292,4.0986,0.0000,1.0956
65,11.3441,3.5460,0.0000,1.3962
66,11.3566,2.9942,0.0000,0.9429
67,11.3696,2.4473,0.0000,0.5526
68,11.3829,1.8997,0.0000,0.4747
69,11.3989,1.3546,0.0000,0.2700
70,11.4146,0.8077,0.0000,0.7832
71,11.4315,0.2610,0.0000,0.4061
72,11.4494,-0.2817,0.0000,0.7859
73,11.4698,-0.8275,0.0000,2.3559
74,11.4883,-1.3894,0.0000,2.6127
75,11.5042,-1.9440,0.0000,1.2711
76,11.5187,-2.4962,0.0000,1.6165
77,11.5363,-3.0495,0.0000,1.6013
78,11.5551,-3.5980,0.0000,1.2288
79,11.5729,-4.1506,0.0000,1.1634
80,11.5899,-4.6979,0.0000,0.5722
81,11.6084,-5.2451,0.0000,0.3977
82,11.6257,-5.7881,0.0000,0.9541
83,11.6434,-6.3366,0.0000,1.5789
84,11.6637,-6.8903,0.0000,1.1334
85,11.6829,-7.4404,0.0000,1.2821
86,11.7007,-7.9926,0.0000,1.6748
87,11.7191,-8.5487,0.0000,1.6557
88,11.7373,-9.0968,0.0000,0.8851
89,11.7542,-9.6426,0.0000,0.2335
90,11.7720,-10.1876,0.0000,0.8294
91,11.7912,-10.7372,0.0000,0.9366
92,11.8093,-11.2860,0.0000,1.2150
93,11.8284,-11.8363,0.0000,1.5628
94,11.8453,-12.3889,0.0000,1.3016
95,11.8629,-12.9393,0.0000,0.9750
96,11.8814,-13.4886,0.0000,1.2401
97,11.9008,-14.0408,0.0000,1.3165
98,11.9207,-14.5915,0.0000,1.1589
99,11.9379,-15.1390,0.0000,0.6117
100,11.9535,-15.6856,0.0000,0.9365
101,11.9693,-16.2340,0.0000,0.9511
102,11.9883,-16.7841,0.0000,0.9949
103,12.0063,-17.3347,0.0000,0.8259
104,12.0244,-17.8816,0.0000,1.0442
105,12.0387,-18.4291,0.0000,1.4425
106,12.0561,-18.9859,0.0000,2.1208
107,12.0772,-19.5470,0.0000,3.0960
108,12.0974,-20.1027,0.0000,3.0119
109,12.1126,-20.6438,0.0000,0.8924
110,12.1273,-21.1881,0.0000,0.7638
